,별점,리뷰내용,작성자,작성일자,공감,비공감
815,10,"관람객재밌었어요 역시 마블,, 아이언맨 죽어서 너무 슬펐네요 ",heej****,2019.07.01 19:13,4,0
816,10,관람객기대만큼 멋있었어요~♥ ,namu****,2019.07.01 18:32,4,0
817,10,관람객10 5졌다 그냥.... ,이채연(znss****),2019.07.01 16:35,4,0
818,10,말이 필요한가 왜 우리나라는 재개봉 안하는거임.. ,LuNa(luna****),2019.07.01 15:46,4,0
819,10,관람객마블은 역시 언제나 진리! ,한글(wlzl****),2019.07.01 15:18,4,0
820,8,캡틴마블보다 낫다 재밌게 봤음 ,황윤선(qwsx****),2019.07.01 14:30,4,0
821,10,"지금까지 쭉 힘들어왔던 토니만큼은 행복하길 바랬는데, 끝까지 마음아프네 ",ScotchTenTen(whgu****),2019.06.30 19:45,4,0
822,10,어벤져스 3000만큼 사랑해 ,손주영(thsw****),2019.06.30 13:53,4,0
823,10,관람객액션영화계의 최고봉. ,윤선희(rlac****),2019.06.30 13:39,4,0
824,9,관람객재미있게 보았어요~^^ ,cjsg****,2019.06.30 09:23,4,0
825,10,관람객기대한 만큼 재밌게 봤습니다 최고 ,GENESIS(e552****),2019.06.30 07:37,4,0
826,10,3000만큼  사랑합니다 ,류경환(gyeo****),2019.06.29 20:13,4,0
827,10,좋아 좋아 좋아 좋아 좋아 ,송호은(ghdm****),2019.06.29 19:19,4,0
828,9,관람객토니 3000만큼 사랑해여 ,앙마빈(bint****),2019.06.29 18:50,4,0
829,10,관람객너무재밌고 또 너무재밌엇다 ,rlar****,2019.06.29 18:05,4,0
830,10,토니스타크의 아이언멘의 첫대사와 마지막을 마무리한 명대사 (I'M IRON MAN)너무멋있다 ,게임페인의 친구(rlag****),2019.06.29 16:57,4,0
831,10,어벤저스의 감동을 있는 그대로 느낄 수 있는 시대에 살았다는 것만으로도 인생의 큰 행복이다. ,카아디(cafe****),2019.06.29 16:35,4,0
832,10,관람객어벤져스 엔드게임 굿 굿 ,AK(ybi1****),2019.06.29 15:57,4,0
833,10,관람객역시 대박! 재밌어요. 아이언맨 멋져요 ,비단쌤(gdhk****),2019.06.29 14:45,4,0
834,10,관람객사랑합니다 마블 그리울거에요 ,atom****,2019.06.29 13:27,4,0
835,10,관람객너무 재밌어요~~~3000만큼사랑해요 ㅋ ,xxcc****,2019.06.29 11:59,4,0
836,10,관람객마블시리즈 러뷰~ 눈물난거 실화 ㅠ ,꽃길만걷자(orrn****),2019.06.29 11:43,4,0
837,10,관람객엔드게임이란 제목에 맞는 훌륭한 엔딩~ ,kier****,2019.06.28 17:48,4,0
838,10,역대급 최고의 영화 후회없는 선택 ,으라차차짜(love****),2019.06.28 15:36,4,0
839,10,관람객슬퍼요.... ㅠㅠ 아이언맨 영원하라~ ,행복(star****),2019.06.28 11:41,4,0
840,9,관람객아주 재밌게 봤습니다. ,hoho****,2019.06.28 05:20,4,0
841,10,3000만큼 사랑합니다 토니스타크♡♡ ,ernest selbon(kgh0****),2019.06.28 00:29,4,0
842,10,최고영화  영화 역사를 바꿀 흥행 클라이멕스!!!! ,amit****,2019.06.27 23:02,4,0
843,10,안녕하세요 어벤져스영화다봐어요어벤져스엔드게임너무재밌어요아이언맨이죽어서너무슬퍼어요ㅠㅠㅠ어벤져스마블좋아해요어벤져스영화열심히볼게요그리고어벤져스마블힘네세요화이팅어벤져스영화가재밌가있어별점다섯게드릴게요그리고옛날에영화관에서옛날어...,안준혁(euey****),2019.06.27 22:50,4,0
844,10,관람객최고의 감동이였다   앞으로도 ,다다오(vndt****),2019.06.27 21:31,4,0
845,10,관람객마블 팬들에게 주는 최고의 선물 ,김철국(kimc****),2019.06.27 21:09,4,0
846,10,관람객세번봤다  별점 게이지가  왜 10뿐인가? ,백에디(pizk****),2019.06.27 10:00,4,0
847,10,영화가 매우 멋이있고 재밌었습니다 ,byki****,2019.06.26 07:39,4,0
848,10,마블이 영화를 일년에 열편 이상씩 만들었으면... ,Rio(nano****),2019.06.26 00:01,4,0
849,10,쫌 늦었지만 다시봐도 재밌었음.. ,천꾹(sims****),2019.06.25 23:49,4,0
850,10,마블 최고2대 아이언맨 ,face****,2019.06.25 23:23,4,0
851,10,관람객늘 볼 만해요  앤드가 아니면 좋겠네요 ,smile(loio****),2019.06.25 21:39,4,0
852,10,very very amazing ,고세현(tpgu****),2019.06.25 16:50,4,0
853,10,관람객그냥 모든게 완벽!하다는 말밖에... ,문정(rkan****),2019.06.25 02:15,4,0
854,10,관람객멋있고 좋은 결말이였다 ㅠㅠ ,외로운(acda****),2019.06.25 01:35,4,0
855,10,관람객고마웠다 재밌었다 어벤져스 ,CcoKko(lgh4****),2019.06.25 00:15,4,0
856,10,로다주 돌아와요~ ㅠㅠ ,에쉬(elys****),2019.06.24 23:50,4,0
857,9,관람객남녀노소 즐길수있다 재밌게봤다잉 ,권다애(free****),2019.06.24 23:22,4,0
858,9,재미있고 잘 만든 결말이지만 씁쓸하고 허탈한 기분이 드는 결말 ,Macadamia(skyt****),2019.06.24 23:21,4,0
859,10,관람객감동이네요~~완벽한 마무리! ,삽질매냐(bloo****),2019.06.24 10:51,4,0
860,10,관람객어벤져스 어셈블!!! ,tall****,2019.06.24 10:41,4,0
861,10,관람객재밌었어요. 페미영화라고 학을 떼는 사람들이 있다던데 도대체 어디? 참고로 난 아저씨. ,Segundo(perc****),2019.06.24 09:44,4,0
862,10,관람객아직도 생생한 전율ㄷㄷ ,moon****,2019.06.24 09:26,4,0
863,10,관람객이걸 내가 어떻게 평가해 어벤져스 어쎔블. ,포도(dmtp****),2019.06.24 04:35,4,0
864,10,관람객토르 아이언맨 캡틴마블 캡틴아메리카 블랙위도우 헐크 ,순식간이야(dmsc****),2019.06.23 22:39,4,0
865,10,아이언맨과 캡틴 아메리카 팬들에게는 최고의 영화로 기억될 것 입니다. ,Hun(hunt****),2019.06.23 21:37,4,0
866,10,내가 본 영화중 최고의 영화!! 마블 3000만큼 사랑해!!감사합니다 스탠리 할아버지 ,모얄FREEZON(zwam****),2019.06.23 14:16,4,0
867,10,관람객대서사시의 완벽한 마무리 ,rptd****,2019.06.23 13:07,4,0
868,9,나쁘지 않게 봤어. 뭐 앞으로 10년동안 이런 영화는 없겠지만 말야 ,worl****,2019.06.23 13:05,4,0
869,9,관람객마블영화 좋아요... ,이현석(rnlh****),2019.06.22 19:53,4,0
870,10,관람객눈물이 장난이 아니에여 ㅜㅜ ,소기조바(leeh****),2019.06.22 19:52,4,0
871,10,아이언맨1편을 시작으로 모든 영화를 다 본사람과 그렇지 않은 사람이 볼 수 있는 시퀸스의 차이가 너무나 크다 다만 띄엄띄엄 봐왔던 사람도 충분히 스토리의 진행을 최소한이나마 이해 할 수 있도록 연출은 훌륭했다. 길었...,CMSeong(yhse****),2019.06.22 08:41,4,0
872,9,"예상밖의 결말은 아니였지만, 그래도 좋았습니다. ㅜㅜ ",lee88(shak****),2019.06.21 15:42,4,0
873,10,"관람객러닝타임이 3시간인데 1시간 같이, 시간가는 줄 모르고 봤어요. ",Roylz(a203****),2019.06.21 14:47,4,0
874,10,관람객너무  신나요   아이들이  좋아하네요 ,4040(na49****),2019.06.21 13:54,4,0
875,10,관람객엔드게임 재미있게  보았네요 ,윤학수(xx22****),2019.06.21 11:09,4,0
876,10,관람객어린시절을 히어로와 함께보낸 아저씨가 박수를 보냅니다. ,ccch****,2019.06.21 10:33,4,0
877,10,관람객재밌어요 믿고보는 마블 ,칠판친놈(mand****),2019.06.21 10:33,4,0
878,10,굳 진짜 개꿀잼 ppap ,얼간쓰(bung****),2019.06.21 08:00,4,0
879,10,오조 오억번 봐도 질리지 않을 영화. ,강은혜(1geh****),2019.06.19 19:59,4,0
880,10,"관람객역시 마블이자나,,,, 너무 좋아요 ",JHJ(hajo****),2019.06.19 19:56,4,0
881,10,관람객너무 재밌어요 스케일 짱 큼 ,wjnddd(wjsq****),2019.06.19 19:52,4,0
882,10,와 진짜 굿 굿 진짜 최고짱  따봉 ,진우찡짱(jinw****),2019.06.19 17:57,4,0
883,10,마블 영화에서 아이언맨과 캡틴아메리카를 못보게 된다는건 조금 아쉽네요 ,푸른하늬(dusw****),2019.06.19 17:34,4,0
884,10,관람객재미 있게 봤습니다. 영화와 함께 늙어 가는 기분이 이상하네요. 그리고 마블 3000만큼 사랑합니다 ,ToraAsa(naru****),2019.06.19 15:41,4,0
885,10,관람객최고다시보고 싶지만 바빠못봄ㅠ ,화팅해보자(reno****),2019.06.19 15:25,4,0
886,10,관람객역시 마블은 재밌죠!! ,이은지(leg1****),2019.06.19 14:33,4,0
887,10,관람객아....너무...잼있었습니다!그리고...마지막이라...아주마니아쉽고..그리울거같습니다..ㅜㅜ ,사람(jhsy****),2019.06.19 07:33,4,0
888,10,3000만큼사랑해! ,유진잉(gkss****),2019.06.19 02:13,4,0
889,10,관람객명불허전 어벤저스시리즈 중 최고작입니다! ,우하하(gtin****),2019.06.18 18:55,4,0
890,10,관람객두번봤습니다 둘다 울었습니다 ,강진철(jin_****),2019.06.18 18:17,4,0
891,10,관객수 1400만 605명 기대했는데...턱끝에서 멈출듯 하네...아깝;; ,nashira(nash****),2019.06.18 18:04,4,0
892,9,관람객어벤져스: 엔드게임 감사합니다 ,gj10****,2019.06.18 17:48,4,0
893,10,관람객3000만큼 ㅠㅠㅠㅠ사랑해ㅠㅠㅠㅠ ,깨굴깨굴(real****),2019.06.18 16:24,4,0
894,10,관람객재밌었습니다 잘봤습ㅇㄴ다ㅏ ,qkr(qkrw****),2019.06.18 12:20,4,0
895,10,관람객아이언맨 뭉클해짐. 재미짐.. ,무사뿡(mmus****),2019.06.18 03:57,4,0
896,10,관람객내생애 최고의 영화 두번보고싶음 ,predigo(zesp****),2019.06.18 01:23,4,0
897,10,누가 봐도 재미있을 영화 하지만 이번영화는 연관된 마블 시리즈를 보고 본사람은 두배더 재미있게 봤을것 이래저래 몸값들때문에 고생을 많이한 영화이지만 마블의 10년을 아이언맨과 로마노프 이둘이 잘 마무리 했다. ,연(noti****),2019.06.18 00:01,4,0
898,10,관람객마블 3000 만큼 사랑합니다 2 ,youg****,2019.06.17 23:54,4,0
899,10,관람객정말 재맸다 인생영화.. ,바나나(rkdr****),2019.06.17 16:51,4,0
900,10,몇마디말로는표현불가능한 완벽한 결말 ,무쵸맨(neo2****),2019.06.17 16:21,4,0
901,10,관람객씹잼디니니니니닌니니니 ,민호네집(bak_****),2019.06.17 16:10,4,0
902,10,역대급... 아직 안봤다면 꼭 보삼 ,현(dhgu****),2019.06.17 16:08,4,0
903,10,관람객마지막이라서 아쉽지만 그동안 영화에 대한 기대감과 설레임을 만들어 준 마블에 감사인사를 하고 싶다. 판타지 액션영화이지만 언제봐도 멋있고 감동이여서 평생기억에 남을겁니다. ,ungiue(xiao****),2019.06.17 15:51,4,0
904,10,관람객엄청 재미있게 봤슴 레알~ ,피렌체(kym2****),2019.06.17 15:46,4,0
905,10,이보다 더 완벽한 시나리오와 스타일을 만들어낼 영화가 있을까? ,제미크리(gemi****),2019.06.17 14:43,4,0
906,10,"거의 끝물에 극장가서 봤는데, 안봤으면 죽을때까지 후회할뻔 했다. ",빈이(bin1****),2019.06.17 03:49,4,0
907,10,후유증이 쉽게 안사라지네 ,navycvf(indi****),2019.06.15 16:54,4,0
908,10,내어린시절부터 함께한 아이언맨의 완벽한퇴장... ,리밥ful(lch1****),2019.06.15 06:23,4,0
909,10,관람객10년의 대장정.. 나의 청춘과 함께 행복했다 ,jmj1****,2019.06.14 21:35,4,0
910,10,관람객역쉬~~~라는게 절로 나오는 영화였어요 ,seon****,2019.06.13 16:01,4,0
911,9,기성세대도 매력을 느끼는 ,엄형(ever****),2019.06.13 15:21,4,0
912,10,"관람객Cap, it's Sam. Can you hear me? On you r left. ",jpudding(j_pu****),2019.06.13 12:10,4,0
913,10,관람객재밌네요. 어벤져스가 늘 그렇듯이. ,XOXO(shin****),2019.06.12 23:20,4,0
914,10,난 아직도 자기전에 포탈씬에서 달려가는 게 생각난다.마블 3000만큼 사랑한다 ,성지홍(buki****),2019.06.12 22:53,4,0
915,10,관람객마블 패밀리와 팬들에게 보내는 아름다운 헌사 ,momo****,2019.06.12 14:56,4,0
916,10,관람객두번봐따... 사랑해 삼천만큼 ,wwekd(adda****),2019.06.12 13:41,4,0
917,10,3회차까지 관람했습니다. 첨에 토니 구출되고 우리들의 자유를 포기하고 지키려고 했던건데 너는 함께지키자고 해놓고 필요할땐 없었다. (대충이랬던거같은데)뭐 이런 대사치면서 캡틴한테 화내는 장면. 로다주 연기력에 감탄....,Blah(scro****),2019.06.12 09:03,4,0
918,10,아임 아이언맨...ㅜㅠ ,피쓰(ilaw****),2019.06.09 10:27,4,0
919,10,관람객역시 어벤져스입니다. ,동화(wjdr****),2019.06.09 09:19,4,0
920,10,"관람객3000사랑해, 나는 아이언맨 ",바람같물이되장작인(tend****),2019.06.09 06:05,4,0
921,10,당신들이 있어서 지난 10여년간 행복했습니다.Thank you. Thor. Thank you. Cap. Thank you. Tony.. ,멋쟁이(kkuk****),2019.06.09 04:56,4,0
922,10,관람객3000만큼사랑합니다. ,rla9****,2019.06.09 02:26,4,0
923,10,내 20대를 함께했다 마블 감사합니다 너무 즐거웠어요 후속도 쭉쭉 기대~~~~ ,iss2****,2019.06.09 02:03,4,0
924,9,관람객두번 보면 두번 울꺼에요 ,숀(huma****),2019.06.09 00:30,4,0
925,9,개연성이나 이야기를 풀어가는게 2프로 아쉽긴 했지만 어벤져스의 마무리를 나름 멋지게 했다고 생각합니당^^ ,이동욱(jung****),2019.06.08 22:34,4,0
926,10,관람객감동의 피날레였어.. ,Robin(robi****),2019.06.07 23:23,4,0
927,10,정말 감동적인 영화 입니다 ,품위있게(deer****),2019.06.07 23:14,4,0
928,10,관람객너무 슬퍼서 대성통곡했어요 ㅠ 너무 재미있었습니다 ,rosebaek(h251****),2019.06.07 22:45,4,0
929,10,토니 이제 쉬어도돼... ,fajijaf(ber3****),2019.06.07 22:14,4,0
930,10,마지막 엔딩 크레딧 원년멤버들 사인나올때 ㅂㄹ떨리면서 울었다 ,Rascal(600g****),2019.06.07 21:57,4,0
931,10,와 대단해요   이런영화는 없었다 ,엘뚜뚜(sjs0****),2019.06.06 20:47,4,0
932,9,관람객너무 재밋엇어요 세상에 블팬나올때 소름 ,최연복(chld****),2019.06.05 14:11,4,0
933,10,끝이란 생각에 자꾸 눈물이 났다.. 이제 모두들 행복하길 ,iridescent(jung****),2019.06.04 22:28,4,0
934,10,관람객어벤져스 엔드게임 와 스케일이 장난아닙니다~~ ,J helen(here****),2019.06.04 11:14,4,0
935,10,아....ㅜㅜ 씨 난 3000보다 더 사랑한다 ,crox****,2019.06.04 11:12,4,0
936,10,관람객다섯번봄.ㅋ. .ㅋ... ,지수현(sooh****),2019.06.04 08:10,4,0
937,10,관람객마블~ 정주행중입니다ㅎ ,훈자씨(venu****),2019.06.03 23:41,4,0
938,10,관람객아이언맨 재미있었습니다 ,이연희(renk****),2019.06.03 23:31,4,0
939,9,"관람객너무 재밌습니다. 근데  이전 마블시리즈를 봐야 더 이해하기가 좋을 것같아요ㅜ ㅇ ㅜ 인피니티워, 가디언즈  다시 봤어요 ㅎ ",루미드(kims****),2019.06.03 22:40,4,0
940,10,I am groot... ,capboy(caps****),2019.06.03 22:30,4,0
941,9,여러가지 시퀀스들의 재접목! 화려하고 깔끔하다. ,백룡세탁(3dyg****),2019.06.03 22:11,4,0
942,9,관람객시리즈의 훌륭한 마지막 ,잇힝(parr****),2019.06.03 20:55,4,0
943,10,관람객완벽한 마무리 좋았어요~ ,유심(youj****),2019.06.03 20:01,4,0
944,10,아이언맨 3000만큼 사랑해ㅠㅠ ,TJ(beam****),2019.06.03 15:46,4,0
945,10,관람객완전 재밌어요 또 볼거에여ㅠ ,은지(mini****),2019.06.03 14:32,4,0
946,10,관람객마블은 사랑입니다.♡ ,미노루(punx****),2019.06.03 13:27,4,0
947,10,관람객너무 재미나게 봤어요~^^ ,사발짱구(babo****),2019.06.03 11:02,4,0
948,10,관람객마블영화는 언제나 재미있다 ,쿠쿠(sinm****),2019.06.03 10:08,4,0
949,10,관람객11년의 기다림을 멋있게 마무리해주는 훌륭한영화 ,love****,2019.06.03 09:56,4,0
950,10,관람객증말 잼있어요 빵빵~~ ,이월이(ahni****),2019.06.03 08:37,4,0
951,10,인생마저도 돌아보게만드는 오락영화같지않은 최고의 오락영화 ,Asimov(dhby****),2019.06.03 08:36,4,0
952,9,관람객10년의 여정을 함께해준 팬들에 대한 헌사와 장엄한 마무리. 다음여정도 믿어본다 ,shhy****,2019.06.03 04:40,4,0
953,10,관람객인피니티사가의 피날레 ,요피(o3o_****),2019.06.03 04:01,4,0
954,10,관람객캡아와 아이언맨을 말그대로 히어로로 만들어줘서 마블이 얼마나 그들을 애정하는지 알 수 있었어요. 다른 캐릭터들도 개성넘치고 멋있습니다. 마블 캐릭터를 생생하게 연기해준 배우들과 제작진들 모두 3000만큼 사랑합니다....,heu0****,2019.06.03 03:53,4,0
955,10,지금까지 내인생 최고의 영화 ,해외축구부장판사(1670****),2019.06.02 20:59,4,0
956,10,I am ironman Avengers assemble!!Proof that Tony has a heartI love you 3000 10년의 시간은 무의미하지 않았습니다... ,장태영(jade****),2019.06.02 12:13,4,0
957,10,관람객3000만큼 사랑해~ ,yaee****,2019.06.02 11:59,4,0
958,10,관람객또 보고싶다는!!! 꾸르잼 ,꽃유댕(lsy8****),2019.06.02 11:06,4,0
959,10,토니에게 따듯한 심장이 있다는 증거.... ,shi(shin****),2019.06.02 09:38,4,0
960,10,관람객이제는 뭐가 나올련지.... ,JM(kjmn****),2019.06.02 07:02,4,0
961,10,밤10시20분 영화였는데 아직도 전석 매진!하..믿기지 않는 스토리 ,사브리나(sabr****),2019.06.02 03:59,4,0
962,10,10년간 쭉 봐온 팬들에 대한 선물. 이렇게 만족스러울순 없다. ,프리이니(free****),2019.06.02 03:41,4,0
963,10,"관람객그립다캡틴 위도우, , ",울락불락(ohja****),2019.06.02 01:27,4,0
964,10,관람객마블 3000만큼 사랑합니다 ,우미(dnal****),2019.05.31 14:04,4,0
965,10,관람객9살 아이도 재밌게 봤어요~ 스파이더맨도 기대됩니다. ^^ ,feateon(feat****),2019.05.31 09:23,4,0
966,10,관람객마블시리즈 몰아보고 가서 더 몰입함 ㅠㅠㅠ ,리얼니쥬(real****),2019.05.31 09:10,4,0
967,10,하..마지막 너무 슬픈듯 ㅠㅠ ,바나나라떼(hydf****),2019.05.31 08:16,4,0
968,10,"손으로 입막고 오열했다,,, ",홍수연(hsy3****),2019.05.30 01:37,4,0
969,10,관람객점옥씨랑 춘녀씨랑 같이 보았읍니다. 엑션 영화는 처음이지만 재미있었던 것 같았네요. ,zz(5p_u****),2019.05.29 22:42,4,0
970,10,재미대가리 없는 아바타 흥행기록좀 제발 깨자 ,그뤠잇터(pssh****),2019.05.29 21:16,4,0
971,10,관람객재밌었어요 인생 까지는 아니지만 ㅋㅋ 나름 즐겁게 봄 ,엠마(deep****),2019.05.29 20:09,4,0
972,10,관람객넘 좋았어요. 최고여요. ,리용(wipp****),2019.05.29 19:50,4,0
973,10,마지막 전투신이 좀 짧아서 아쉬웠지만.. ,KK(bkkg****),2019.05.29 00:36,4,0
974,10,관람객3000만큼 감동이였다 ,안녕하쩨염(zzrl****),2019.05.29 00:00,4,0
975,10,관람객유년시절부터 평생을 함께해온 아이언맨..당신을 3000만큼사랑합니다 ,ㅇㅣㅇ(auro****),2019.05.28 23:37,4,0
976,10,관람객21세기 동시대 최고의 영화 ,김안석(asgg****),2019.05.28 21:14,4,0
977,10,진짜 눈이 호강하네 ㅠ 최고다 ㅠㅠ ,titl****,2019.05.28 03:20,4,0
978,10,관람객3000만큼 사랑해와 치즈버거 감동이다 ,찐원(jinw****),2019.05.27 11:57,4,0
979,10,관람객3번봤는데.. 질리지않더라  어벤져스 어셈블.. 그거 들으려고 4년간 기다렸던 거였구나 .. 어벤져스는 이제 떠났지만 그들의 의지는 다음페이지 히어로들이 계승하고 이어갈것이다.. 3000만큼 사랑했습니다 앞으로는 6...,레슬링의신(zxzx****),2019.05.27 09:51,4,0
980,10,관람객엔드게임 최고 두번 봐도 재밋네요 ^^ ,딴따벨라(kiki****),2019.05.27 09:47,4,0
981,10,관람객믿고보는 마블입니당 최고최고 ,진붕이(semp****),2019.05.27 09:43,4,0
982,10,처음으로 극장에서 3번 본 영화 ,현니(shgu****),2019.05.27 07:10,4,0
983,10,관람객치즈버거 주세요 ... ,산마루(anim****),2019.05.27 03:51,4,0
984,10,자연스럽다! 어벤져스 3.4의 놀라운점은 캐릭터의 능력에 따라 역할분배를 기가막히게 잘한다는점! ,chwn****,2019.05.27 02:55,4,0
985,10,이만큼 많이 운 영화는 처음임... ,곽정원(kjw4****),2019.05.27 02:13,4,0
986,10,"그냥 봐도 재밌지만, 이전 마블 영화들을 다 보고 엔드게임을 보길 추천함. 이전 영화들 내용을 이해하고 있어야 엔드게임이 의도하는 감동을 온전히 느낄 수 있을 것 같다. ",CFP(tkdd****),2019.05.26 23:13,4,0
987,10,관람객최근에 10년 가까이 봐왔던 드라마가 마지막시즌에 막장으로 끝나버려서... 어벤져스는 그러지 않아서 감사합니다 ㅜㅜ ,The Music(wcn0****),2019.05.26 01:35,4,0
988,10,관람객난 아이언맨이다 할때 진짜 눈물주룩ㅜㅜ마블 3000만큼 사랑합니다!!!!어벤져스 어셈블!!!정말 사랑합니다ㅜㅜㅜ ,뚜뚜(did7****),2019.05.26 00:29,4,0
989,10,3000천만큼사랑해~~♡♡ ,여인의 향기(hs76****),2019.05.25 16:03,4,0
990,10,"""자...로키가 어디 있습니까?"" ""죽었잔어"" ""끝인가..?ㅠㅠ"" ",Kang17(imsm****),2019.05.25 07:39,4,0
991,10,말이필요없죠 미국에서또봄 ,송재민(ma88****),2019.05.25 03:47,4,0
992,10,잘가요 아이언맨 그동안 고마웠어요 ,디디헤(dddy****),2019.05.25 03:37,4,0
993,10,관람객혼자가서 봤는데 시간가는 줄 몰랐어요 ,cybe****,2019.05.25 03:25,4,0
994,10,"관람객너무 재밌었어요,,기대이상입니다 ",룽루(wjda****),2019.05.25 03:10,4,0
995,10,어벤져스 최고의 영화입니다! ,tjdw****,2019.05.25 02:28,4,0
996,10,"Thanks, Marvel ",빛나리(ross****),2019.05.25 02:22,4,0
997,10,진짜 강추..너무재밌어요 ,이소연(viui****),2019.05.25 01:40,4,0
998,10,진짜 최고!!  내가sf영화 보면서  울꺼라고는... ,쭈(sprt****),2019.05.25 01:08,4,0
999,10,뒤늦게 덕후됐어요 ㅠㅜㅜ ,권민혜(haey****),2019.05.25 00:15,4,0
